Frame#,Time,Timestamp,ROI,Breathing
1,0.0708108,Thu Dec 12 13:35:15.609 2019,31.19399,-1
2,0.132646,Thu Dec 12 13:35:15.671 2019,31.18807,-1
4,0.2333771,Thu Dec 12 13:35:15.772 2019,31.17978,-1
6,0.315157,Thu Dec 12 13:35:15.853 2019,31.16313,-1
7,0.3610349,Thu Dec 12 13:35:15.899 2019,31.16535,-1
8,0.4059142,Thu Dec 12 13:35:15.944 2019,31.16823,-1
9,0.4607672,Thu Dec 12 13:35:15.999 2019,31.16487,-1
10,0.5016584,Thu Dec 12 13:35:16.040 2019,31.16327,-1
11,0.5535796,Thu Dec 12 13:35:16.092 2019,31.16018,-1
12,0.6054411,Thu Dec 12 13:35:16.144 2019,31.15573,-1
13,0.6642841,Thu Dec 12 13:35:16.203 2019,31.1523,-1
14,0.7690041,Thu Dec 12 13:35:16.307 2019,31.15015,-1
15,0.8328336,Thu Dec 12 13:35:16.371 2019,31.13846,-1
16,0.9186043,Thu Dec 12 13:35:16.457 2019,31.13544,-1
17,1.19686,Thu Dec 12 13:35:16.735 2019,31.1501,-1
18,1.309559,Thu Dec 12 13:35:16.848 2019,31.17908,-1
19,1.400317,Thu Dec 12 13:35:16.939 2019,31.17532,-1
20,1.487084,Thu Dec 12 13:35:17.025 2019,31.18842,-1
21,1.650648,Thu Dec 12 13:35:17.189 2019,31.18387,-1
22,1.760354,Thu Dec 12 13:35:17.299 2019,31.16244,-1
24,1.911948,Thu Dec 12 13:35:17.450 2019,31.16572,-1
25,2.015672,Thu Dec 12 13:35:17.554 2019,31.1644,-1
26,2.054567,Thu Dec 12 13:35:17.593 2019,31.15952,-1
27,2.136348,Thu Dec 12 13:35:17.675 2019,31.15146,-1
28,2.195191,Thu Dec 12 13:35:17.733 2019,31.15481,-1
29,2.260018,Thu Dec 12 13:35:17.798 2019,31.16959,-1
30,2.324845,Thu Dec 12 13:35:17.863 2019,31.18278,-1
31,2.380696,Thu Dec 12 13:35:17.919 2019,31.17804,-1
32,2.429566,Thu Dec 12 13:35:17.968 2019,31.18102,-1
33,2.489405,Thu Dec 12 13:35:18.028 2019,31.17778,-1
34,2.54426,Thu Dec 12 13:35:18.083 2019,31.17045,-1
35,2.594125,Thu Dec 12 13:35:18.132 2019,31.16789,-1
36,2.659949,Thu Dec 12 13:35:18.198 2019,31.16361,-1
37,2.702834,Thu Dec 12 13:35:18.241 2019,31.16835,-1
38,2.766668,Thu Dec 12 13:35:18.305 2019,31.16197,-1
39,2.834482,Thu Dec 12 13:35:18.373 2019,31.16803,-1
40,2.881357,Thu Dec 12 13:35:18.420 2019,31.16658,-1
41,2.937208,Thu Dec 12 13:35:18.475 2019,31.14585,-1
42,2.994081,Thu Dec 12 13:35:18.532 2019,31.1449,-1
43,3.061907,Thu Dec 12 13:35:18.600 2019,31.17164,-1
44,3.137704,Thu Dec 12 13:35:18.676 2019,31.1706,-1
45,3.197545,Thu Dec 12 13:35:18.736 2019,31.18162,-1
46,3.266362,Thu Dec 12 13:35:18.805 2019,31.1799,-1
47,3.332184,Thu Dec 12 13:35:18.870 2019,31.18455,-1
48,3.396013,Thu Dec 12 13:35:18.934 2019,31.19003,-1
49,3.481785,Thu Dec 12 13:35:19.020 2019,31.19722,-1
50,3.555587,Thu Dec 12 13:35:19.094 2019,31.19279,-1
51,3.61044,Thu Dec 12 13:35:19.149 2019,31.19184,-1
52,3.741091,Thu Dec 12 13:35:19.279 2019,31.19538,-1
53,3.810437,Thu Dec 12 13:35:19.349 2019,31.20496,-1
54,3.872274,Thu Dec 12 13:35:19.411 2019,31.20539,-1
55,3.939094,Thu Dec 12 13:35:19.477 2019,31.1938,-1
56,4.008907,Thu Dec 12 13:35:19.547 2019,31.20376,-1
57,4.094678,Thu Dec 12 13:35:19.633 2019,31.19579,-1
58,4.153521,Thu Dec 12 13:35:19.692 2019,31.20623,-1
59,4.212364,Thu Dec 12 13:35:19.751 2019,31.20847,-1
60,4.290156,Thu Dec 12 13:35:19.828 2019,31.20494,-1
62,4.398865,Thu Dec 12 13:35:19.937 2019,31.19146,-1
63,4.464689,Thu Dec 12 13:35:20.003 2019,31.1806,-1
64,4.525526,Thu Dec 12 13:35:20.064 2019,31.18072,-1
65,4.582374,Thu Dec 12 13:35:20.121 2019,31.16455,-1
66,4.642213,Thu Dec 12 13:35:20.180 2019,31.16342,-1
67,4.705577,Thu Dec 12 13:35:20.244 2019,31.15681,-1
68,4.770911,Thu Dec 12 13:35:20.309 2019,31.13782,-1
69,4.814794,Thu Dec 12 13:35:20.353 2019,31.11808,-1
70,4.90256,Thu Dec 12 13:35:20.441 2019,31.11939,-1
71,4.981348,Thu Dec 12 13:35:20.520 2019,31.11325,-1
72,5.036201,Thu Dec 12 13:35:20.574 2019,31.10716,-1
73,5.103024,Thu Dec 12 13:35:20.641 2019,31.10281,-1
74,5.173833,Thu Dec 12 13:35:20.712 2019,31.097,-1
75,5.230682,Thu Dec 12 13:35:20.769 2019,31.09341,-1
76,5.301493,Thu Dec 12 13:35:20.840 2019,31.10028,-1
77,5.358341,Thu Dec 12 13:35:20.897 2019,31.12256,-1
78,5.425162,Thu Dec 12 13:35:20.963 2019,31.12844,-1
79,5.489989,Thu Dec 12 13:35:21.028 2019,31.14143,-1
80,5.543845,Thu Dec 12 13:35:21.082 2019,31.14459,-1
81,5.607674,Thu Dec 12 13:35:21.146 2019,31.15781,-1
82,5.683473,Thu Dec 12 13:35:21.222 2019,31.15294,-1
83,5.732342,Thu Dec 12 13:35:21.271 2019,31.16165,-1
84,5.824096,Thu Dec 12 13:35:21.362 2019,31.1627,-1
85,5.879946,Thu Dec 12 13:35:21.418 2019,31.16066,-1
86,5.983675,Thu Dec 12 13:35:21.522 2019,31.15383,-1
87,6.040517,Thu Dec 12 13:35:21.579 2019,31.15121,-1
88,6.117386,Thu Dec 12 13:35:21.656 2019,31.13784,-1
89,6.194181,Thu Dec 12 13:35:21.732 2019,31.13135,-1
90,6.246049,Thu Dec 12 13:35:21.784 2019,31.12456,-1
91,6.311379,Thu Dec 12 13:35:21.850 2019,31.12978,-1
92,6.382189,Thu Dec 12 13:35:21.920 2019,31.12288,-1
93,6.444024,Thu Dec 12 13:35:21.982 2019,31.1195,-1
94,6.510849,Thu Dec 12 13:35:22.049 2019,31.11529,-1
95,6.577667,Thu Dec 12 13:35:22.116 2019,31.12,-1
96,6.64349,Thu Dec 12 13:35:22.182 2019,31.13317,-1
97,6.700339,Thu Dec 12 13:35:22.239 2019,31.1413,-1
98,6.751203,Thu Dec 12 13:35:22.289 2019,31.13414,-1
99,6.82401,Thu Dec 12 13:35:22.362 2019,31.12765,-1
100,6.872878,Thu Dec 12 13:35:22.411 2019,31.11977,-1
103,7.005523,Thu Dec 12 13:35:22.544 2019,31.11901,-1
104,7.057413,Thu Dec 12 13:35:22.596 2019,31.1186,-1
105,7.125232,Thu Dec 12 13:35:22.664 2019,31.14175,-1
106,7.20103,Thu Dec 12 13:35:22.739 2019,31.13268,-1
108,7.323701,Thu Dec 12 13:35:22.862 2019,31.13398,-1
109,7.394514,Thu Dec 12 13:35:22.933 2019,31.13655,-1
110,7.471351,Thu Dec 12 13:35:23.010 2019,31.13184,-1
111,7.532185,Thu Dec 12 13:35:23.070 2019,31.13469,-1
112,7.601997,Thu Dec 12 13:35:23.140 2019,31.14208,-1
113,7.641893,Thu Dec 12 13:35:23.180 2019,31.14668,-1
114,7.707714,Thu Dec 12 13:35:23.246 2019,31.16099,-1
115,7.767554,Thu Dec 12 13:35:23.306 2019,31.15547,-1
116,7.839363,Thu Dec 12 13:35:23.378 2019,31.16197,-1
117,7.894216,Thu Dec 12 13:35:23.433 2019,31.1561,-1
118,7.971012,Thu Dec 12 13:35:23.509 2019,31.16911,-1
119,8.021875,Thu Dec 12 13:35:23.560 2019,31.15961,-1
120,8.084707,Thu Dec 12 13:35:23.623 2019,31.15402,-1
121,8.149533,Thu Dec 12 13:35:23.688 2019,31.17088,-1
122,8.247273,Thu Dec 12 13:35:23.786 2019,31.16455,-1
123,8.311101,Thu Dec 12 13:35:23.849 2019,31.16534,-1
124,8.414824,Thu Dec 12 13:35:23.953 2019,31.14699,-1
125,8.439757,Thu Dec 12 13:35:23.978 2019,31.1658,-1
128,8.606313,Thu Dec 12 13:35:24.145 2019,31.15747,-1
129,8.692083,Thu Dec 12 13:35:24.230 2019,31.14671,-1
130,8.757908,Thu Dec 12 13:35:24.296 2019,31.14769,-1
131,8.822856,Thu Dec 12 13:35:24.361 2019,31.14858,-1
132,8.905635,Thu Dec 12 13:35:24.444 2019,31.15354,-1
133,8.963479,Thu Dec 12 13:35:24.502 2019,31.15739,-1
134,9.018332,Thu Dec 12 13:35:24.557 2019,31.16439,-1
135,9.116071,Thu Dec 12 13:35:24.654 2019,31.20629,-1
136,9.174913,Thu Dec 12 13:35:24.713 2019,31.202,-1
137,9.228769,Thu Dec 12 13:35:24.767 2019,31.19458,-1
141,9.439208,Thu Dec 12 13:35:24.977 2019,31.18684,-1
142,9.501041,Thu Dec 12 13:35:25.039 2019,31.18607,-1
143,9.568861,Thu Dec 12 13:35:25.107 2019,31.18532,-1
144,9.629698,Thu Dec 12 13:35:25.168 2019,31.18849,-1
145,9.705496,Thu Dec 12 13:35:25.244 2019,31.18703,-1
146,9.760348,Thu Dec 12 13:35:25.299 2019,31.18845,-1
147,9.828169,Thu Dec 12 13:35:25.366 2019,31.18256,-1
148,9.905962,Thu Dec 12 13:35:25.444 2019,31.18171,-1
149,9.96979,Thu Dec 12 13:35:25.508 2019,31.17646,-1
150,10.03162,Thu Dec 12 13:35:25.570 2019,31.172,-1
151,10.09545,Thu Dec 12 13:35:25.634 2019,31.16212,-1
152,10.1513,Thu Dec 12 13:35:25.690 2019,31.15528,-1
153,10.22017,Thu Dec 12 13:35:25.758 2019,31.14518,-1
154,10.30294,Thu Dec 12 13:35:25.841 2019,31.14865,-1
155,10.36877,Thu Dec 12 13:35:25.907 2019,31.15082,-1
156,10.43012,Thu Dec 12 13:35:25.968 2019,31.14551,-1
157,10.5109,Thu Dec 12 13:35:26.049 2019,31.15433,-1
159,10.5857,Thu Dec 12 13:35:26.124 2019,31.17197,-1
160,10.67247,Thu Dec 12 13:35:26.211 2019,31.19209,-1
165,10.8849,Thu Dec 12 13:35:26.423 2019,31.18594,-1
166,10.94873,Thu Dec 12 13:35:26.487 2019,31.18537,-1
167,11.01456,Thu Dec 12 13:35:26.553 2019,31.18703,-1
168,11.10831,Thu Dec 12 13:35:26.647 2019,31.16908,-1
169,11.16316,Thu Dec 12 13:35:26.701 2019,31.15795,-1
170,11.23796,Thu Dec 12 13:35:26.776 2019,31.16031,-1
171,11.31775,Thu Dec 12 13:35:26.856 2019,31.15412,-1
172,11.38457,Thu Dec 12 13:35:26.923 2019,31.14304,-1
173,11.43842,Thu Dec 12 13:35:26.977 2019,31.14116,-1
174,11.51322,Thu Dec 12 13:35:27.052 2019,31.13251,-1
175,11.58406,Thu Dec 12 13:35:27.122 2019,31.13798,-1
176,11.64889,Thu Dec 12 13:35:27.187 2019,31.14292,-1
177,11.7207,Thu Dec 12 13:35:27.259 2019,31.12927,-1
178,11.80647,Thu Dec 12 13:35:27.345 2019,31.11209,-1
179,11.88725,Thu Dec 12 13:35:27.426 2019,31.08489,-1
180,11.93812,Thu Dec 12 13:35:27.476 2019,31.07588,-1
181,12.00593,Thu Dec 12 13:35:27.544 2019,31.07793,-1
182,12.06678,Thu Dec 12 13:35:27.605 2019,31.08062,-1
183,12.14257,Thu Dec 12 13:35:27.681 2019,31.07221,-1
184,12.21438,Thu Dec 12 13:35:27.753 2019,31.07129,-1
185,12.2792,Thu Dec 12 13:35:27.817 2019,31.06884,-1
186,12.34303,Thu Dec 12 13:35:27.881 2019,31.06128,-1
187,12.41085,Thu Dec 12 13:35:27.949 2019,31.08,-1
194,12.68516,Thu Dec 12 13:35:28.223 2019,31.07395,-1
195,12.74201,Thu Dec 12 13:35:28.280 2019,31.07602,-1
196,12.80883,Thu Dec 12 13:35:28.347 2019,31.08272,-1
197,12.88163,Thu Dec 12 13:35:28.420 2019,31.08677,-1
198,12.97638,Thu Dec 12 13:35:28.515 2019,31.09746,-1
199,13.03821,Thu Dec 12 13:35:28.576 2019,31.11616,-1
200,13.10803,Thu Dec 12 13:35:28.646 2019,31.12262,-1
201,13.17884,Thu Dec 12 13:35:28.717 2019,31.12703,-1
202,13.28755,Thu Dec 12 13:35:28.826 2019,31.13576,-1
203,13.34539,Thu Dec 12 13:35:28.884 2019,31.14091,-1
204,13.41521,Thu Dec 12 13:35:28.953 2019,31.14069,-1
205,13.48203,Thu Dec 12 13:35:29.020 2019,31.14028,-1
206,13.55284,Thu Dec 12 13:35:29.091 2019,31.12031,-1
207,13.60569,Thu Dec 12 13:35:29.144 2019,31.08452,-1
208,13.68449,Thu Dec 12 13:35:29.223 2019,31.0694,-1
209,13.75031,Thu Dec 12 13:35:29.289 2019,31.0664,-1
210,13.81414,Thu Dec 12 13:35:29.352 2019,31.06798,-1
211,13.87996,Thu Dec 12 13:35:29.418 2019,31.07158,-1
212,13.95277,Thu Dec 12 13:35:29.491 2019,31.06953,-1
213,14.01261,Thu Dec 12 13:35:29.551 2019,31.08561,-1
214,14.08641,Thu Dec 12 13:35:29.625 2019,31.08316,-1
215,14.14525,Thu Dec 12 13:35:29.684 2019,31.07867,-1
216,14.20709,Thu Dec 12 13:35:29.745 2019,31.08304,-1
217,14.28793,Thu Dec 12 13:35:29.826 2019,31.07994,-1
218,14.34079,Thu Dec 12 13:35:29.879 2019,31.07614,-1
219,14.41958,Thu Dec 12 13:35:29.958 2019,31.08997,-1
220,14.4874,Thu Dec 12 13:35:30.026 2019,31.09165,-1
221,14.54824,Thu Dec 12 13:35:30.087 2019,31.10842,-1
222,14.61506,Thu Dec 12 13:35:30.153 2019,31.10997,-1
223,14.68686,Thu Dec 12 13:35:30.225 2019,31.11654,-1
224,14.74272,Thu Dec 12 13:35:30.281 2019,31.12744,-1
225,14.80156,Thu Dec 12 13:35:30.340 2019,31.14001,-1
226,14.85741,Thu Dec 12 13:35:30.396 2019,31.1417,-1
227,14.92922,Thu Dec 12 13:35:30.468 2019,31.14376,-1
228,14.98706,Thu Dec 12 13:35:30.525 2019,31.13822,-1
229,15.04391,Thu Dec 12 13:35:30.582 2019,31.14091,-1
230,15.1207,Thu Dec 12 13:35:30.659 2019,31.14516,-1
231,15.17057,Thu Dec 12 13:35:30.709 2019,31.15556,-1
232,15.24438,Thu Dec 12 13:35:30.783 2019,31.16,-1
233,15.33912,Thu Dec 12 13:35:30.877 2019,31.16706,-1
234,15.41492,Thu Dec 12 13:35:30.953 2019,31.16889,-1
235,15.48872,Thu Dec 12 13:35:31.027 2019,31.16653,-1
236,15.54457,Thu Dec 12 13:35:31.083 2019,31.17145,-1
237,15.6104,Thu Dec 12 13:35:31.149 2019,31.17982,-1
238,15.68624,Thu Dec 12 13:35:31.225 2019,31.18241,-1
239,15.75506,Thu Dec 12 13:35:31.293 2019,31.19001,-1
240,15.82388,Thu Dec 12 13:35:31.362 2019,31.18979,-1
241,15.8887,Thu Dec 12 13:35:31.427 2019,31.19035,-1
242,15.95253,Thu Dec 12 13:35:31.491 2019,31.1938,-1
243,16.01337,Thu Dec 12 13:35:31.552 2019,31.19696,-1
244,16.07919,Thu Dec 12 13:35:31.617 2019,31.19915,-1
245,16.14103,Thu Dec 12 13:35:31.679 2019,31.20782,-1
246,16.21184,Thu Dec 12 13:35:31.750 2019,31.21272,-1
247,16.28963,Thu Dec 12 13:35:31.828 2019,31.20844,-1
248,16.34847,Thu Dec 12 13:35:31.887 2019,31.20434,-1
249,16.41829,Thu Dec 12 13:35:31.957 2019,31.1982,-1
250,16.4861,Thu Dec 12 13:35:32.024 2019,31.19518,-1
251,16.54596,Thu Dec 12 13:35:32.084 2019,31.19482,-1
252,16.61875,Thu Dec 12 13:35:32.157 2019,31.2035,-1
253,16.68258,Thu Dec 12 13:35:32.221 2019,31.20854,-1
254,16.74641,Thu Dec 12 13:35:32.285 2019,31.19314,-1
255,16.8252,Thu Dec 12 13:35:32.363 2019,31.18633,-1
256,16.90299,Thu Dec 12 13:35:32.441 2019,31.18757,-1
257,16.95086,Thu Dec 12 13:35:32.489 2019,31.1893,-1
258,17.0479,Thu Dec 12 13:35:32.586 2019,31.17554,8
259,17.11373,Thu Dec 12 13:35:32.652 2019,31.16421,8
260,17.18354,Thu Dec 12 13:35:32.722 2019,31.17463,8
261,17.24737,Thu Dec 12 13:35:32.786 2019,31.18148,8
262,17.3491,Thu Dec 12 13:35:32.887 2019,31.18213,8
263,17.41045,Thu Dec 12 13:35:32.949 2019,31.17728,8
264,17.46031,Thu Dec 12 13:35:32.999 2019,31.18257,8
265,17.55207,Thu Dec 12 13:35:33.090 2019,31.18661,8
266,17.60493,Thu Dec 12 13:35:33.143 2019,31.20595,8
267,17.66676,Thu Dec 12 13:35:33.205 2019,31.22382,8
268,17.74256,Thu Dec 12 13:35:33.281 2019,31.22297,7
269,17.81536,Thu Dec 12 13:35:33.354 2019,31.21804,7
270,17.89715,Thu Dec 12 13:35:33.435 2019,31.21662,7
271,17.9899,Thu Dec 12 13:35:33.528 2019,31.21538,7
272,18.08165,Thu Dec 12 13:35:33.620 2019,31.21803,7
273,18.15545,Thu Dec 12 13:35:33.694 2019,31.21531,7
274,18.2143,Thu Dec 12 13:35:33.753 2019,31.22338,7
275,18.28962,Thu Dec 12 13:35:33.828 2019,31.22484,7
276,18.36243,Thu Dec 12 13:35:33.901 2019,31.22886,7
277,18.42327,Thu Dec 12 13:35:33.962 2019,31.24209,7
278,18.51402,Thu Dec 12 13:35:34.052 2019,31.25174,7
279,18.58483,Thu Dec 12 13:35:34.123 2019,31.25804,7
280,18.65464,Thu Dec 12 13:35:34.193 2019,31.26108,7
281,18.73144,Thu Dec 12 13:35:34.270 2019,31.26773,7
283,18.82718,Thu Dec 12 13:35:34.365 2019,31.28156,7
284,18.88603,Thu Dec 12 13:35:34.424 2019,31.2939,7
285,18.94188,Thu Dec 12 13:35:34.480 2019,31.30683,6
286,19.01568,Thu Dec 12 13:35:34.554 2019,31.31319,6
287,19.07951,Thu Dec 12 13:35:34.618 2019,31.32187,6
288,19.12439,Thu Dec 12 13:35:34.663 2019,31.31845,6
289,19.18722,Thu Dec 12 13:35:34.726 2019,31.31515,6
290,19.26302,Thu Dec 12 13:35:34.801 2019,31.30382,6
291,19.31887,Thu Dec 12 13:35:34.857 2019,31.2908,6
292,19.38968,Thu Dec 12 13:35:34.928 2019,31.29531,6
293,19.44054,Thu Dec 12 13:35:34.979 2019,31.31003,6
294,19.4974,Thu Dec 12 13:35:35.036 2019,31.32244,6
295,19.58516,Thu Dec 12 13:35:35.123 2019,31.30934,6
296,19.65098,Thu Dec 12 13:35:35.189 2019,31.2962,6
297,19.71936,Thu Dec 12 13:35:35.258 2019,31.29044,6
298,19.77771,Thu Dec 12 13:35:35.316 2019,31.28192,6
299,19.83954,Thu Dec 12 13:35:35.378 2019,31.29193,6
300,19.90437,Thu Dec 12 13:35:35.443 2019,31.28301,6
301,19.98615,Thu Dec 12 13:35:35.524 2019,31.27506,6
302,20.02604,Thu Dec 12 13:35:35.564 2019,31.2695,6
303,20.09286,Thu Dec 12 13:35:35.631 2019,31.25598,6
304,20.20257,Thu Dec 12 13:35:35.741 2019,31.25572,6
305,20.29532,Thu Dec 12 13:35:35.834 2019,31.24504,6
306,20.34719,Thu Dec 12 13:35:35.885 2019,31.23743,6
307,20.45889,Thu Dec 12 13:35:35.997 2019,31.23237,6
308,20.54466,Thu Dec 12 13:35:36.083 2019,31.23411,6
309,20.62644,Thu Dec 12 13:35:36.165 2019,31.24327,6
310,20.69326,Thu Dec 12 13:35:36.232 2019,31.24598,6
311,20.75609,Thu Dec 12 13:35:36.294 2019,31.2524,6
312,20.84286,Thu Dec 12 13:35:36.381 2019,31.26376,6
313,20.90868,Thu Dec 12 13:35:36.447 2019,31.26111,6
314,20.97351,Thu Dec 12 13:35:36.512 2019,31.25813,6
315,21.04931,Thu Dec 12 13:35:36.588 2019,31.25956,6
316,21.10221,Thu Dec 12 13:35:36.640 2019,31.26133,6
317,21.18898,Thu Dec 12 13:35:36.727 2019,31.26708,6
319,21.32063,Thu Dec 12 13:35:36.859 2019,31.26478,6
320,21.39144,Thu Dec 12 13:35:36.930 2019,31.27012,6
321,21.45527,Thu Dec 12 13:35:36.994 2019,31.2763,6
322,21.52907,Thu Dec 12 13:35:37.067 2019,31.28246,6
323,21.61684,Thu Dec 12 13:35:37.155 2019,31.27757,6
324,21.67967,Thu Dec 12 13:35:37.218 2019,31.25839,6
325,21.74549,Thu Dec 12 13:35:37.284 2019,31.25379,6
326,21.81032,Thu Dec 12 13:35:37.349 2019,31.25925,6
327,21.90008,Thu Dec 12 13:35:37.438 2019,31.24784,6
328,21.95493,Thu Dec 12 13:35:37.493 2019,31.21329,6
329,22.01976,Thu Dec 12 13:35:37.558 2019,31.21032,6
330,22.09356,Thu Dec 12 13:35:37.632 2019,31.1988,6
331,22.15739,Thu Dec 12 13:35:37.696 2019,31.20289,6
332,22.23419,Thu Dec 12 13:35:37.772 2019,31.20139,6
333,22.32594,Thu Dec 12 13:35:37.864 2019,31.1945,6
334,22.38778,Thu Dec 12 13:35:37.926 2019,31.22092,6
335,22.44518,Thu Dec 12 13:35:37.983 2019,31.23269,6
336,22.51696,Thu Dec 12 13:35:38.055 2019,31.23848,6
337,22.61968,Thu Dec 12 13:35:38.158 2019,31.23585,6
338,22.69548,Thu Dec 12 13:35:38.234 2019,31.23361,6
339,22.8022,Thu Dec 12 13:35:38.340 2019,31.21559,6
340,22.875,Thu Dec 12 13:35:38.413 2019,31.20827,6
341,22.9528,Thu Dec 12 13:35:38.491 2019,31.21813,6
342,22.99668,Thu Dec 12 13:35:38.535 2019,31.20449,6
343,23.05353,Thu Dec 12 13:35:38.592 2019,31.20056,6
344,23.13431,Thu Dec 12 13:35:38.673 2019,31.20045,6
345,23.21908,Thu Dec 12 13:35:38.757 2019,31.2023,6
346,23.26696,Thu Dec 12 13:35:38.805 2019,31.19515,6
347,23.34973,Thu Dec 12 13:35:38.888 2019,31.19336,6
348,23.41955,Thu Dec 12 13:35:38.958 2019,31.18089,6
349,23.49136,Thu Dec 12 13:35:39.030 2019,31.18332,6
350,23.55319,Thu Dec 12 13:35:39.091 2019,31.17357,6
351,23.62101,Thu Dec 12 13:35:39.159 2019,31.17345,6
352,23.68683,Thu Dec 12 13:35:39.225 2019,31.16627,6
353,23.74169,Thu Dec 12 13:35:39.280 2019,31.17347,6
354,23.81152,Thu Dec 12 13:35:39.350 2019,31.17216,6
355,23.87834,Thu Dec 12 13:35:39.417 2019,31.17784,6
356,23.95613,Thu Dec 12 13:35:39.494 2019,31.17382,6
357,24.00899,Thu Dec 12 13:35:39.547 2019,31.18042,6
358,24.09376,Thu Dec 12 13:35:39.632 2019,31.18456,6
359,24.15261,Thu Dec 12 13:35:39.691 2019,31.20781,6
360,24.22242,Thu Dec 12 13:35:39.761 2019,31.21424,6
361,24.30919,Thu Dec 12 13:35:39.847 2019,31.21184,6
362,24.39196,Thu Dec 12 13:35:39.930 2019,31.21306,6
363,24.44981,Thu Dec 12 13:35:39.988 2019,31.22268,6
364,24.52864,Thu Dec 12 13:35:40.067 2019,31.2152,6
365,24.60443,Thu Dec 12 13:35:40.143 2019,31.23441,6
366,24.67923,Thu Dec 12 13:35:40.218 2019,31.23366,6
367,24.75603,Thu Dec 12 13:35:40.294 2019,31.22915,6
368,24.82086,Thu Dec 12 13:35:40.359 2019,31.22001,6
369,24.89466,Thu Dec 12 13:35:40.433 2019,31.2136,6
370,24.99539,Thu Dec 12 13:35:40.534 2019,31.21362,6
371,25.1041,Thu Dec 12 13:35:40.642 2019,31.20449,6
372,25.19889,Thu Dec 12 13:35:40.737 2019,31.19825,6
373,25.3096,Thu Dec 12 13:35:40.848 2019,31.20237,6
374,25.3824,Thu Dec 12 13:35:40.921 2019,31.20917,6
375,25.4572,Thu Dec 12 13:35:40.995 2019,31.20911,6
376,25.53599,Thu Dec 12 13:35:41.074 2019,31.20681,6
377,25.62076,Thu Dec 12 13:35:41.159 2019,31.20415,6
378,25.69656,Thu Dec 12 13:35:41.235 2019,31.20143,6
379,25.79829,Thu Dec 12 13:35:41.337 2019,31.19841,6
380,25.87807,Thu Dec 12 13:35:41.416 2019,31.20029,6
381,25.94589,Thu Dec 12 13:35:41.484 2019,31.20544,6
382,26.02568,Thu Dec 12 13:35:41.564 2019,31.21222,6
383,26.08652,Thu Dec 12 13:35:41.625 2019,31.23276,6
384,26.17727,Thu Dec 12 13:35:41.716 2019,31.2255,6
385,26.24509,Thu Dec 12 13:35:41.783 2019,31.22072,6
386,26.33685,Thu Dec 12 13:35:41.875 2019,31.22243,6
387,26.42561,Thu Dec 12 13:35:41.964 2019,31.22447,6
388,26.49941,Thu Dec 12 13:35:42.038 2019,31.22252,6
389,26.55929,Thu Dec 12 13:35:42.098 2019,31.22586,6
390,26.65404,Thu Dec 12 13:35:42.192 2019,31.22728,6
391,26.72086,Thu Dec 12 13:35:42.259 2019,31.20326,6
392,26.79865,Thu Dec 12 13:35:42.337 2019,31.18725,6
393,26.86647,Thu Dec 12 13:35:42.405 2019,31.18038,6
394,26.93229,Thu Dec 12 13:35:42.471 2019,31.17737,6
395,26.99912,Thu Dec 12 13:35:42.537 2019,31.15912,6
396,27.07292,Thu Dec 12 13:35:42.611 2019,31.15418,6
397,27.12179,Thu Dec 12 13:35:42.660 2019,31.14124,6
398,27.19858,Thu Dec 12 13:35:42.737 2019,31.13808,6
399,27.28236,Thu Dec 12 13:35:42.821 2019,31.13461,6
400,27.36115,Thu Dec 12 13:35:42.899 2019,31.12586,6
401,27.45988,Thu Dec 12 13:35:42.998 2019,31.11225,6
402,27.53768,Thu Dec 12 13:35:43.076 2019,31.10643,6
403,27.63541,Thu Dec 12 13:35:43.174 2019,31.10186,6
404,27.72717,Thu Dec 12 13:35:43.265 2019,31.08244,6
405,27.81593,Thu Dec 12 13:35:43.354 2019,31.06722,6
406,27.89372,Thu Dec 12 13:35:43.432 2019,31.06963,5
407,27.96161,Thu Dec 12 13:35:43.500 2019,31.06355,5
408,28.02544,Thu Dec 12 13:35:43.564 2019,31.06417,5
409,28.09227,Thu Dec 12 13:35:43.631 2019,31.06824,5
410,28.15011,Thu Dec 12 13:35:43.688 2019,31.08301,5
411,28.22591,Thu Dec 12 13:35:43.764 2019,31.09896,5
412,28.29672,Thu Dec 12 13:35:43.835 2019,31.09876,5
413,28.36055,Thu Dec 12 13:35:43.899 2019,31.10155,5
414,28.43435,Thu Dec 12 13:35:43.973 2019,31.08974,5
415,28.49918,Thu Dec 12 13:35:44.037 2019,31.09523,5
416,28.58994,Thu Dec 12 13:35:44.128 2019,31.10108,5
417,28.63781,Thu Dec 12 13:35:44.176 2019,31.10518,5
418,28.72258,Thu Dec 12 13:35:44.261 2019,31.10687,6
419,28.7914,Thu Dec 12 13:35:44.330 2019,31.10575,6
420,28.85622,Thu Dec 12 13:35:44.395 2019,31.10943,6
421,28.92405,Thu Dec 12 13:35:44.462 2019,31.10922,6
422,28.98189,Thu Dec 12 13:35:44.520 2019,31.11213,6
423,29.04871,Thu Dec 12 13:35:44.587 2019,31.1325,6
424,29.12451,Thu Dec 12 13:35:44.663 2019,31.12667,6
425,29.19532,Thu Dec 12 13:35:44.734 2019,31.1296,6
426,29.2392,Thu Dec 12 13:35:44.777 2019,31.13061,6
427,29.31204,Thu Dec 12 13:35:44.850 2019,31.14399,6
428,29.4018,Thu Dec 12 13:35:44.940 2019,31.1508,6
429,29.45965,Thu Dec 12 13:35:44.998 2019,31.15099,7
